Raw channels: 19287
Wanted remaining channels: 129
Matched: 129
Still missing: 0

MATCH | ABC.BOSTON.us | ABC Boston | score=483 | via="WCVB" | site_id="abc-wcvb-boston-ma-hd/3661" | raw="ABC (WCVB) Boston, MA HD" | raw_xmltv_id="WCVBTV501.us@SD"
MATCH | STARZ.ENCORE.CLASSIC.us | Starz Encore Classic | score=519 | via="Starz Encore Classic" | site_id="starz-encore-classic-hd--eastern/11435" | raw="Starz Encore Classic HD - Eastern" | raw_xmltv_id="starz-encore-classic-hd--eastern/11435"
MATCH | STARZ.ENCORE.FAMILY.us | Starz Encore Family | score=519 | via="Starz Encore Family" | site_id="starz-encore-family-hd--eastern/11441" | raw="Starz Encore Family HD - Eastern" | raw_xmltv_id="StarzEncoreFamily.us@East"
MATCH | STARZ.ENCORE.SUSPENSE.us | Starz Encore Suspense | score=519 | via="Starz Encore Suspense" | site_id="starz-encore-suspense-hd--eastern/11437" | raw="Starz Encore Suspense HD - Eastern" | raw_xmltv_id="StarzEncoreSuspense.us@East"
MATCH | STARZ.IN.BLACK.us | Starz In Black | score=504 | via="Starz In Black" | site_id="starz-in-black-hd--eastern/7090" | raw="Starz In Black HD - Eastern" | raw_xmltv_id="starz-in-black-hd--eastern/7090"
MATCH | STARZ.KIDS.AND.FAMILY.us | Starz Kids & Family | score=534 | via="Starz Kids & Family" | site_id="starz-kids--family-hd--eastern/7091" | raw="Starz Kids & Family HD - Eastern" | raw_xmltv_id="starz-kids--family-hd--eastern/7091"
MATCH | SKY.ACTION.uk | Sky Action | score=163 | via="SKY.ACTION.uk" | site_id="sky-link-tv-hd/8840" | raw="Sky Link TV HD" | raw_xmltv_id="sky-link-tv-hd/8840"
MATCH | SKY.HITS.uk | Sky Hits | score=163 | via="SKY.HITS.uk" | site_id="sky-link-tv-hd/8840" | raw="Sky Link TV HD" | raw_xmltv_id="sky-link-tv-hd/8840"
MATCH | SKY.PREMIERE.uk | Sky Premiere | score=163 | via="SKY.PREMIERE.uk" | site_id="sky-link-tv-hd/8840" | raw="Sky Link TV HD" | raw_xmltv_id="sky-link-tv-hd/8840"
MATCH | SKY.SCI.FI.uk | Sky Sci-Fi | score=163 | via="SKY.SCI.FI.uk" | site_id="sky-link-tv-hd/8840" | raw="Sky Link TV HD" | raw_xmltv_id="sky-link-tv-hd/8840"
MATCH | SKY.THRILLER.uk | Sky Thriller | score=163 | via="SKY.THRILLER.uk" | site_id="sky-link-tv-hd/8840" | raw="Sky Link TV HD" | raw_xmltv_id="sky-link-tv-hd/8840"
MATCH | SKY.COMEDY.uk | Sky Comedy | score=163 | via="SKY.COMEDY.uk" | site_id="sky-link-tv-hd/8840" | raw="Sky Link TV HD" | raw_xmltv_id="sky-link-tv-hd/8840"
MATCH | SKY.GREATS.uk | Sky Greats | score=163 | via="SKY.GREATS.uk" | site_id="sky-link-tv-hd/8840" | raw="Sky Link TV HD" | raw_xmltv_id="sky-link-tv-hd/8840"
MATCH | SKY.DRAMA.uk | Sky Drama | score=163 | via="SKY.DRAMA.uk" | site_id="sky-link-tv-hd/8840" | raw="Sky Link TV HD" | raw_xmltv_id="sky-link-tv-hd/8840"
MATCH | SKY.FAMILY.uk | Sky Family | score=163 | via="SKY.FAMILY.uk" | site_id="sky-link-tv-hd/8840" | raw="Sky Link TV HD" | raw_xmltv_id="sky-link-tv-hd/8840"
MATCH | MGM.us | MGM | score=504 | via="MGM+" | site_id="mgm-hd--east/7610" | raw="MGM+ HD - East" | raw_xmltv_id="mgm-hd--east/7610"
MATCH | MGM.DRIVE.IN.us | MGM Drive-In | score=513 | via="MGM+ Drive-In" | site_id="mgm-drive-in-hd/33934" | raw="MGM+ Drive-In HD" | raw_xmltv_id="mgm-drive-in-hd/33934"
MATCH | MGM.HITS.us | MGM Hits | score=519 | via="MGM+ Hits" | site_id="mgm-hits-hd--east/11615" | raw="MGM+ Hits HD - East" | raw_xmltv_id="mgm-hits-hd--east/11615"
MATCH | MGM.HORROR.us | MGM Horror | score=169 | via="MGM.HORROR.us" | site_id="mgm-hd--east/7610" | raw="MGM+ HD - East" | raw_xmltv_id="mgm-hd--east/7610"
MATCH | MGM.MARQUEE.us | MGM Marquee | score=513 | via="MGM+ Marquee" | site_id="mgm-marquee-hd/11616" | raw="MGM+ Marquee HD" | raw_xmltv_id="mgm-marquee-hd/11616"
MATCH | SCREENPIX.ACTION.us | ScreenPix Action | score=350 | via="ScreenPix Action" | site_id="screenpix-action/34660" | raw="ScreenPix: Action" | raw_xmltv_id="screenpix-action/34660"
MATCH | SCREENPIX.VOICES.us | ScreenPix Voices | score=350 | via="ScreenPix Voices" | site_id="screenpix-voices/34662" | raw="ScreenPix: Voices" | raw_xmltv_id="screenpix-voices/34662"
MATCH | SCREENPIX.WESTERNS.us | ScreenPix Westerns | score=330 | via="ScreenPix Westerns" | site_id="screenpix-westerns/34661" | raw="ScreenPix: Westerns" | raw_xmltv_id="screenpix-westerns/34661"
MATCH | SONY.MOVIES.us | Sony Movies | score=498 | via="Sony Movies" | site_id="sony-movies-hd/33741" | raw="Sony Movies HD" | raw_xmltv_id="sony-movies-hd/33741"
MATCH | SILVER.SCREEN.CLASSICS.ca | Silver Screen Classics | score=373 | via="Silver Screen Classics" | site_id="silver-screen-classics-hd/32997" | raw="Silver Screen Classics HD" | raw_xmltv_id="silver-screen-classics-hd/32997"
